Name,Position,Team,Penalty Count,Yards,Declined,Offsetting,Total Flags,Pre-Snap,Count per Game,Yards per Game,Percent of Team,Penalty Types,Year
R.Doubs,WR,Green Bay,3,25,0,0,3,1,0.17,1.39,2.5,"False Start (1), Offensive Pass Interference (1), Illegal Block Above the Waist (1)",2024
C.Durant,DB,LA Rams,2,20,0,1,3,1,0.11,1.05,2.88,"Illegal Contact (1), Roughing the Kicker (1), Illegal Formation (1)",2024
J.Meredith,OL,Las Vegas,3,15,0,0,3,3,0.18,0.88,3.13,False Start (3),2024
D.Parham,OL,Las Vegas,3,18,0,0,3,0,0.18,1.06,3.13,"Unnecessary Roughness (1), Offensive Holding (1), Ineligible Downfield Pass (1)",2024
T.Armstead,OL,Miami,3,30,0,0,3,0,0.18,1.76,2.61,Offensive Holding (3),2024
D.Davidson,DL,N.Y. Giants,3,22,0,0,3,0,0.18,1.29,2.68,"Defensive Holding (2), Face Mask (1)",2024
J.Ezeudu,OL,N.Y. Giants,3,15,0,0,3,3,0.18,0.88,2.68,"False Start (2), Illegal Formation (1)",2024
I.Charles,WR,N.Y. Jets,3,45,0,0,3,0,0.18,2.65,2.19,"Unnecessary Roughness (1), Roughing the Kicker (1), Kick Catch Interference (1)",2024
G.Calcaterra,TE,Philadelphia,3,20,0,0,3,2,0.14,0.95,2.38,"False Start (2), Offensive Holding (1)",2024
C.Ward,DB,San Francisco,3,33,0,0,3,0,0.18,1.94,2.7,"Defensive Pass Interference (2), Illegal Contact (1)",2024
C.Otton,TE,Tampa Bay,3,15,0,0,3,3,0.17,0.83,2.61,False Start (3),2024
C.Okonkwo,TE,Tennessee,3,20,0,0,3,2,0.18,1.18,2.27,"False Start (2), Offensive Pass Interference (1)",2024
K.Awosika,OL,Detroit,2,14,1,0,3,1,0.11,0.78,2.68,"Offensive Holding (2), False Start (1)",2024
S.Mason,OL,Houston,3,25,0,0,3,1,0.16,1.32,2.19,"Offensive Holding (2), False Start (1)",2024
W.Lutz,K,Denver,2,0,0,1,3,0,0.11,0,2.7,Kickoff Out of Bounds (3),2024
A.Butler,DL,Las Vegas,2,20,0,1,3,0,0.12,1.18,3.13,"Roughing the Passer (1), Illegal Use of Hands (1), Defensive Holding (1)",2024
N.Shepherd,DL,New Orleans,2,27,0,1,3,0,0.12,1.59,2.7,"Unnecessary Roughness (2), Face Mask (1)",2024
T.Bryan,DL,Indianapolis,3,15,0,0,3,0,0.18,0.88,3.23,Defensive Holding (3),2024
J.Meyers,WR,Las Vegas,3,26,0,0,3,0,0.18,1.53,3.13,Offensive Pass Interference (3),2024
C.Ford,OL,Cincinnati,3,20,0,0,3,2,0.18,1.18,2.97,"False Start (2), Offensive Holding (1)",2024
Z.Allen,DL,Denver,3,25,0,0,3,2,0.17,1.39,2.7,"Roughing the Passer (1), Defensive Offside (1), Neutral Zone Infraction (1)",2024
J.Oliver,TE,Minnesota,3,22,0,0,3,1,0.17,1.22,2.68,"Offensive Holding (2), False Start (1)",2024
D.Jones,DL,Seattle,3,33,0,0,3,1,0.18,1.94,2.5,"Roughing the Passer (1), Defensive Offside (1), Face Mask (1)",2024
J.Robinson,DL,Las Vegas,3,24,0,0,3,2,0.18,1.41,3.13,"Neutral Zone Infraction (2), Leverage (1)",2024
B.Aubrey,K,Dallas,3,0,0,0,3,0,0.18,0,2.34,"Kickoff Short of Landing Zone (2), Kickoff Out of Bounds (1)",2024
C.Valentine,DB,Green Bay,2,15,1,0,3,0,0.11,0.83,2.5,"Defensive Pass Interference (1), Illegal Use of Hands (1), Defensive Holding (1)",2024
T.Simpson,LB,Baltimore,3,20,0,0,3,0,0.16,1.05,2.13,"Offensive Holding (1), Illegal Use of Hands (1), Defensive Holding (1)",2024
D.Turner,DB,Cincinnati,3,45,0,0,3,0,0.18,2.65,2.97,"Defensive Pass Interference (2), Defensive Holding (1)",2024
J.Moody,K,San Francisco,3,0,0,0,3,0,0.18,0,2.7,"Kickoff Short of Landing Zone (2), Kickoff Out of Bounds (1)",2024
V.Miller,LB,Jacksonville,3,25,0,0,3,1,0.18,1.47,3.03,"Unnecessary Roughness (1), Illegal Contact (1), Illegal Formation (1)",2024
Y.Abdullah,LB,Jacksonville,3,30,0,0,3,0,0.18,1.76,3.03,"Offensive Holding (2), Illegal Block Above the Waist (1)",2024
A.Johnson,DB,Jacksonville,3,24,0,0,3,0,0.18,1.41,3.03,"Roughing the Passer (1), Illegal Contact (1), Defensive Holding (1)",2024
K.Boutte,WR,New England,2,20,1,0,3,0,0.12,1.18,2.68,"Offensive Pass Interference (2), Offensive Holding (1)",2024
A.Iosivas,WR,Cincinnati,3,21,0,0,3,2,0.18,1.24,2.97,"False Start (1), Offensive Holding (1), Illegal Formation (1)",2024
S.Thomas,DB,Arizona,2,25,0,1,3,0,0.12,1.47,3.26,"Unnecessary Roughness (1), Defensive Pass Interference (1), Illegal Contact (1)",2024
T.Bass,OL,Dallas,2,10,1,0,3,2,0.12,0.59,2.34,"False Start (2), Offensive Holding (1)",2024
C.Izien,DB,Tampa Bay,3,18,0,0,3,0,0.17,1,2.61,"Defensive Pass Interference (1), Illegal Contact (1), Illegal Blindside Block (1)",2024
N.Brooks,DB,Atlanta,2,15,1,0,3,1,0.12,0.88,3.03,"Offensive Holding (2), Defensive Offside (1)",2024
T.Kraft,TE,Green Bay,3,25,0,0,3,1,0.17,1.39,2.5,"Offensive Holding (2), False Start (1)",2024
S.Brown,DB,Philadelphia,3,20,0,0,3,1,0.14,0.95,2.38,"Offensive Holding (1), Illegal Formation (1), Player Out of Bounds on Kick (1)",2024
J.Campbell,LB,Detroit,3,16,0,0,3,0,0.17,0.89,2.68,"Defensive Pass Interference (1), Illegal Contact (1), Defensive Holding (1)",2024
J.Schmitz,OL,N.Y. Giants,3,25,0,0,3,0,0.18,1.47,2.68,"Offensive Holding (2), Ineligible Downfield Pass (1)",2024
D.Hall,LB,Seattle,3,23,0,0,3,1,0.18,1.35,2.5,"Roughing the Passer (2), Defensive Offside (1)",2024
T.Palmer,WR,Tampa Bay,3,25,0,0,3,1,0.17,1.39,2.61,"Offensive Holding (2), False Start (1)",2024
Y.Diaby,LB,Tampa Bay,3,30,0,0,3,1,0.17,1.67,2.61,"Roughing the Passer (2), Defensive Offside (1)",2024
J.Gibbs,RB,Detroit,3,30,0,0,3,1,0.17,1.67,2.68,"False Start (1), Offensive Pass Interference (1), Taunting (1)",2024
K.Ringo,DB,Philadelphia,3,25,0,0,3,1,0.14,1.19,2.38,"Illegal Formation (1), Fair Catch Interference (1), Player Out of Bounds on Kick (1)",2024
K.Van Noy,LB,Baltimore,3,15,0,0,3,3,0.16,0.79,2.13,"Defensive Offside (2), Neutral Zone Infraction (1)",2024
K.Street,DL,Atlanta,2,10,1,0,3,1,0.12,0.59,3.03,"Defensive Holding (2), Encroachment (1)",2024
D.Barnett,DL,Houston,3,35,0,0,3,1,0.16,1.84,2.19,"Unnecessary Roughness (1), Roughing the Passer (1), Defensive Offside (1)",2024
C.Snowden,DL,Las Vegas,3,15,0,0,3,2,0.18,0.88,3.13,"Offensive Holding (1), Defensive Offside (1), Encroachment (1)",2024
C.Elliss,LB,New England,3,23,0,0,3,0,0.18,1.35,2.68,"Defensive Pass Interference (2), Illegal Contact (1)",2024
J.Poyer,DB,Miami,3,44,0,0,3,0,0.18,2.59,2.61,"Unnecessary Roughness (2), Face Mask (1)",2024
C.Manhertz,TE,N.Y. Giants,3,25,0,0,3,1,0.18,1.47,2.68,"Offensive Holding (2), False Start (1)",2024
M.Morse,OL,Jacksonville,3,25,0,0,3,1,0.18,1.47,3.03,"Offensive Holding (2), False Start (1)",2024
B.Dupree,LB,LA Chargers,2,9,1,0,3,2,0.11,0.5,3.06,"Defensive Offside (2), Roughing the Passer (1)",2024
R.Darby,DB,Jacksonville,2,10,0,1,3,0,0.12,0.59,3.03,Defensive Holding (3),2024
Ji.Ward,LB,Minnesota,3,25,0,0,3,1,0.17,1.39,2.68,"Roughing the Passer (1), Illegal Use of Hands (1), Neutral Zone Infraction (1)",2024
M.Collins,DL,San Francisco,3,34,0,0,3,0,0.18,2,2.7,"Unnecessary Roughness (1), Roughing the Passer (1), Defensive Holding (1)",2024
A.Walker,LB,Miami,3,15,0,0,3,3,0.18,0.88,2.61,Illegal Formation (3),2024
P.O'Connor,DL,Detroit,3,15,0,0,3,2,0.17,0.83,2.68,"Defensive Offside (1), Encroachment (1), Defensive Holding (1)",2024
M.Davis,DB,Washington,3,30,0,0,3,0,0.15,1.5,2.33,"Defensive Pass Interference (2), Unnecessary Roughness (1)",2024
D.Smoot,DL,Buffalo,3,24,0,0,3,2,0.15,1.2,2.38,"Unnecessary Roughness (1), Defensive Offside (1), Encroachment (1)",2024
C.Shelton,OL,Chicago,3,25,0,0,3,1,0.18,1.47,2.73,"Offensive Holding (2), False Start (1)",2024
T.Moore,DB,Chicago,3,25,0,0,3,2,0.18,1.47,2.73,"False Start (1), Unnecessary Roughness (1), Illegal Formation (1)",2024
C.Williams,OL,Seattle,3,20,0,0,3,2,0.18,1.18,2.5,"False Start (2), Offensive Holding (1)",2024
D.Armstrong,DL,Washington,2,20,0,1,3,1,0.1,1,2.33,"Unnecessary Roughness (1), Roughing the Passer (1), Defensive Offside (1)",2024
R.McCloud,WR,Atlanta,3,30,0,0,3,1,0.18,1.76,3.03,"False Start (1), Unnecessary Roughness (1), Offensive Holding (1)",2024
O.Udoh,OL,New Orleans,3,25,0,0,3,1,0.18,1.47,2.7,"Offensive Holding (2), False Start (1)",2024
S.Mustipher,OL,LA Chargers,2,20,1,0,3,1,0.11,1.11,3.06,"False Start (1), Offensive Holding (1), Chop Block (1)",2024
O.Zaccheaus,WR,Washington,3,29,0,0,3,1,0.15,1.45,2.33,"Illegal Shift (1), Illegal Block Above the Waist (1), Taunting (1)",2024
L.Johnson,DB,Carolina,3,35,0,0,3,0,0.18,2.06,2.54,"Offensive Holding (1), Illegal Block Above the Waist (1), Fair Catch Interference (1)",2024
R.Ya-Sin,DB,San Francisco,3,34,0,0,3,0,0.18,2,2.7,"Defensive Pass Interference (1), Illegal Contact (1), Defensive Holding (1)",2024
B.Burns,LB,N.Y. Giants,2,10,1,0,3,3,0.12,0.59,2.68,"Defensive Offside (2), Neutral Zone Infraction (1)",2024
T.Tart,DL,LA Chargers,3,25,0,0,3,1,0.17,1.39,3.06,"Roughing the Passer (1), Defensive Holding (1), Neutral Zone Infraction (1)",2024
C.Parkinson,TE,LA Rams,3,20,0,0,3,2,0.16,1.05,2.88,"False Start (1), Illegal Block Above the Waist (1), Illegal Motion (1)",2024
C.Young,DL,New Orleans,3,15,0,0,3,3,0.18,0.88,2.7,"Defensive Offside (2), Neutral Zone Infraction (1)",2024
J.Deguara,TE,Jacksonville,3,25,0,0,3,1,0.18,1.47,3.03,"Offensive Holding (2), False Start (1)",2024
T.Biadasz,OL,Washington,2,15,0,1,3,1,0.1,0.75,2.33,"Offensive Holding (2), False Start (1)",2024
L.Cushenberry,OL,Tennessee,3,30,0,0,3,0,0.18,1.76,2.27,Offensive Holding (3),2024
D.Holmes,DB,Las Vegas,2,17,1,0,3,1,0.12,1,3.13,"Defensive Pass Interference (2), Defensive Offside (1)",2024
D.Taylor,DL,Chicago,3,25,0,0,3,2,0.18,1.47,2.73,"Roughing the Passer (1), Defensive Offside (1), Neutral Zone Infraction (1)",2024
D.Lewis,OL,Carolina,3,20,0,0,3,1,0.18,1.18,2.54,"False Start (1), Offensive Holding (1), Ineligible Downfield Pass (1)",2024
J.Curhan,OL,Chicago,3,19,0,0,3,2,0.18,1.12,2.73,"False Start (2), Offensive Holding (1)",2024
F.Franks,TE,Carolina,2,15,0,1,3,0,0.12,0.88,2.54,"Unnecessary Roughness (1), Offensive Holding (1), Face Mask (1)",2024
